ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33,rule34
40,"On September 14, 2015 at 09: 50: 45 UTC the two detectors of the Laser Interferometer Gravitational-Wave Observatory simultaneously observed a transient gravitational-wave signal. The signal sweeps upwards in frequency from 35 to 250 Hz with a peak gravitational-wave strain of 1.0 x 10(-21). It matches the waveform predicted by general relativity for the inspiral and merger of a pair of black holes and the ringdown of the resulting single black hole. The signal was observed with a matched-filter signal-to-noise ratio of 24 and a false alarm rate estimated to be less than 1 event per 203 000 years, equivalent to a significance greater than 5.1 sigma. The source lies at a luminosity distance of 410(-180)(+160) Mpc corresponding to a redshift z = 0.09(-0.01)(+0.03). In the source frame, the initial black hole masses are 36(-4)(+5)M(circle dot) and 29(-4)(+4)M(circle dot), and the final black hole mass is 62(-4)(+4) M-circle dot, with 3.0(-0.5)(+0.5) M(circle dot)c(2) radiated in gravitational waves. All uncertainties define 90% credible intervals. These observations demonstrate the existence of binary stellar-mass black hole systems. This is the first direct detection of gravitational waves and the first observation of a binary black hole merger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"A series of auxiliary basis sets to fit Coulomb potentials for the elements H to Rn (except lanthanides) is presented. For each element only one auxiliary basis set is needed to approximate Coulomb energies in conjunction with orbital basis sets of split valence, triple zeta valence and quadruple zeta valence quality with errors of typically below ca. 0.15 kJ mol(-1) per atom; this was demonstrated in conjunction with the recently developed orbital basis sets of types def2-SV(P), def2-TZVP and def2-QZVPP for a large set of small molecules representing (nearly) each element in all of its common oxidation states. These auxiliary bases are slightly more than three times larger than orbital bases of split valence quality. Compared to non-approximated treatments, computation times for the Coulomb part are reduced by a factor of ca. 8 for def2-SV(P) orbital bases, ca. 25 for def2-TZVP and ca. 100 for def2-QZVPP orbital bases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"We introduce physics-informed neural networks - neural networks that are trained to solve supervised learning tasks while respecting any given laws of physics described by general nonlinear partial differential equations. In this work, we present our developments in the context of solving two main classes of problems: data-driven solution and data-driven discovery of partial differential equations. Depending on the nature and arrangement of the available data, we devise two distinct types of algorithms, namely continuous time and discrete time models. The first type of models forms a new family of data-efficient spatio-temporal function approximators, while the latter type allows the use of arbitrarily accurate implicit Runge-Kutta time stepping schemes with unlimited number of stages. The effectiveness of the proposed framework is demonstrated through a collection of classical problems in fluids, quantum mechanics, reaction-diffusion systems, and the propagation of nonlinear shallow-water waves. (C) 2018 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"We present the design for an absorbing metamaterial (MM) with near unity absorbance A(omega). Our structure consists of two MM resonators that couple separately to electric and magnetic fields so as to absorb all incident radiation within a single unit cell layer. We fabricate, characterize, and analyze a MM absorber with a slightly lower predicted A(omega) of 96%. Unlike conventional absorbers, our MM consists solely of metallic elements. The substrate can therefore be optimized for other parameters of interest. We experimentally demonstrate a peak A(omega) greater than 88% at 11.5 GHz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"QUANTUM ESPRESSO is an integrated suite of open-source computer codes for quantum simulations of materials using state-of-the-art electronic-structure techniques, based on density-functional theory, density-functional perturbation theory, and many-body perturbation theory, within the plane-wave pseudopotential and projector-augmented-wave approaches. QUANTUM ESPRESSO owes its popularity to the wide variety of properties and processes it allows to simulate, to its performance on an increasingly broad array of hardware architectures, and to a community of researchers that rely on its capabilities as a core open-source development platform to implement their ideas. In this paper we describe recent extensions and improvements, covering new methodologies and property calculators, improved parallelization, code modularization, and extended interoperability both within the distribution and with external software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"SRIM is a software package concerning the Stopping and Range of Ions in Matter. Since its introduction in 1985, major upgrades are made about every six years. Currently, more than 700 scientific citations are made to SRIM every year. For SRIM-2010, the following major improvements have been made: (1) About 2800 new experimental stopping powers were added to the database, increasing it to over 28,000 stopping values. (2) Improved corrections were made for the stopping of ions in compounds. (3) New heavy ion stopping calculations have led to significant improvements on SRIM stopping accuracy. (4) A self-contained SRIM module has been included to allow SRIM stopping and range values to be controlled and read by other software applications. (5) Individual interatomic potentials have been included for all ion/atom collisions, and these potentials are now included in the SRIM package. A full catalog of stopping power plots can be downloaded at www.SRIM.org. Over 500 plots show the accuracy of the stopping and ranges produced by SRIM along with 27,000 experimental data points. References to the citations which reported the experimental data are included. Published by Elsevier B.V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"The electron density, its gradient, and the Kohn-Sham orbital kinetic energy density are the local ingredients of a meta-generalized gradient approximation (meta-GGA). We construct a meta-GGA density functional for the exchange-correlation energy that satisfies exact constraints without empirical parameters. The exchange and correlation terms respect two paradigms: one- or two-electron densities and slowly varying densities, and so describe both molecules and solids with high accuracy, as shown by extensive numerical tests. This functional completes the third rung of ""Jacob's ladder"" of approximations, above the local spin density and GGA rungs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"The Li-S battery has been under intense scrutiny for over two decades, as it offers the possibility of high gravimetric capacities and theoretical energy densities ranging up to a factor of five beyond conventional Li-ion systems. Herein, we report the feasibility to approach such capacities by creating highly ordered interwoven composites. The conductive mesoporous carbon framework precisely constrains sulphur nanofiller growth within its channels and generates essential electrical contact to the insulating sulphur. The structure provides access to Li+ ingress/egress for reactivity with the sulphur, and we speculate that the kinetic inhibition to diffusion within the framework and the sorption properties of the carbon aid in trapping the polysulphides formed during redox. Polymer modification of the carbon surface further provides a chemical gradient that retards diffusion of these large anions out of the electrode, thus facilitating more complete reaction. Reversible capacities up to 1,320m Ah g(-1) are attained. The assembly process is simple and broadly applicable, conceptually providing new opportunities for materials scientists for tailored design that can be extended to many different electrode materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Topological insulators are new states of quantum matter in which surface states residing in the bulk insulating gap of such systems are protected by time-reversal symmetry. The study of such states was originally inspired by the robustness to scattering of conducting edge states in quantum Hall systems. Recently, such analogies have resulted in the discovery of topologically protected states in two-dimensional and three-dimensional band insulators with large spin-orbit coupling. So far, the only known three-dimensional topological insulator is BixSb1-x, which is an alloy with complex surface states. Here, we present the results of first-principles electronic structure calculations of the layered, stoichiometric crystals Sb2Te3, Sb2Se3, Bi2Te3 and Bi2Se3. Our calculations predict that Sb2Te3, Bi2Te3 and Bi2Se3 are topological insulators, whereas Sb2Se3 is not. These topological insulators have robust and simple surface states consisting of a single Dirac cone at the Gamma point. In addition, we predict that Bi2Se3 has a topologically non-trivial energy gap of 0.3 eV, which is larger than the energy scale of room temperature. We further present a simple and unified continuum model that captures the salient topological features of this class of materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"The quantum spin Hall (QSH) phase is a time reversal invariant electronic state with a bulk electronic band gap that supports the transport of charge and spin in gapless edge states. We show that this phase is associated with a novel Z(2) topological invariant, which distinguishes it from an ordinary insulator. The Z(2) classification, which is defined for time reversal invariant Hamiltonians, is analogous to the Chern number classification of the quantum Hall effect. We establish the Z(2) order of the QSH phase in the two band model of graphene and propose a generalization of the formalism applicable to multiband and interacting systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Excitonic solar cells(1)-including organic, hybrid organic inorganic and dye-sensitized cells (DSCs)-are promising devices for inexpensive, large-scale solar energy conversion. The DSC is currently the most efficient(2) and stable(3) excitonic photocell. Central to this device is a thick nanoparticle film that provides a large surface area for the adsorption of light-harvesting molecules. However, nanoparticle DSCs rely on trap-limited diffusion for electron transport, a slow mechanism that can limit device efficiency, especially at longer wavelengths. Here we introduce a version of the dye-sensitized cell in which the traditional nanoparticle film is replaced by a dense array of oriented, crystalline ZnO nanowires. The nanowire anode is synthesized by mild aqueous chemistry and features a surface area up to one-fifth as large as a nanoparticle cell. The direct electrical pathways provided by the nanowires ensure the rapid collection of carriers generated throughout the device, and a full Sun efficiency of 1.5% is demonstrated, limited primarily by the surface area of the nanowire array.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Converting solar energy into electricity provides a much-needed solution to the energy crisis the world is facing today. Polymer solar cells have shown potential to harness solar energy in a cost-effective way. Significant efforts are underway to improve their efficiency to the level of practical applications. Here, we report highly efficient polymer solar cells based on a bulk heterojunction of polymer poly(3-hexylthiophene) and methanofullerene. Controlling the active layer growth rate results in an increased hole mobility and balanced charge transport. Together with increased absorption in the active layer, this results in much-improved device performance, particularly in external quantum efficiency. The power-conversion efficiency of 4.4% achieved here is the highest published so far for polymer-based solar cells. The solution process involved ensures that the fabrication cost remains low and the processing is simple. The high efficiency achieved in this work brings these devices one step closer to commercialization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"This work reexamines the effect of the exchange screening parameter omega on the performance of the Heyd-Scuseria-Ernzerhof (HSE) screened hybrid functional. We show that variation of the screening parameter influences solid band gaps the most. Other properties such as molecular thermochemistry or lattice constants of solids change little with omega. We recommend a new version of HSE with the screening parameter omega=0.11 bohr(-1) for further use. Compared to the original implementation, the new parametrization yields better thermochemical results and preserves the good accuracy for band gaps and lattice constants in solids. (c) 2006 American Institute of Physics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"EasySpin, a computational package for spectral simulation and analysis in EPR, is described. It is based on Matlab, a commercial technical computation software. EasySpin provides extensive EPR-related functionality, ranging from elementary spin physics to data analysis. In addition, it provides routines for the simulation of liquid- and solid-state EPR and ENDOR spectra. These simulation functions are built on a series of novel algorithms that enhance scope, speed and accuracy of spectral simulations. Spin systems with an arbitrary number of electron and nuclear spins are supported. The structure of the toolbox as well as the theoretical background underlying its simulation functionality are presented, and some illustrative examples are given. (c) 2005 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Samples of the iron oxides Fe0.94O, Fe3O4, Fe2O3, and Fe2SiO4 were prepared by high temperature equilibration in controlled gas atmospheres. The samples were fractured in vacuum and high resolution XPS spectra of the fractured surfaces were measured. The peak positions and peak shape parameters of Fe 3p for Fe2+ and Fe3+ were derived from the Fe 3p XPS spectra of the standard samples of 2FeO center dot SiO2 and Fe2O3, respectively. Using these parameters, the Fe 3p peaks of Fe3O4 and Fe1-yO are analysed. The results indicate that high resolution XPS techniques can be used to determine the Fe2+/Fe3+ ratios in metal oxides. The technique has the potential for application to other transition metal oxide systems. (c) 2007 Elsevier B. V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Using computer databases of scientific papers in physics, biomedical research, and computer science, we have constructed networks of collaboration between scientists in each of these disciplines. In these networks two scientists are considered connected if they have coauthored one or more papers together. We study a variety of statistical properties of our networks, including numbers of papers written by authors, numbers of authors per paper, numbers of collaborators that scientists have, existence and size of a giant component of connected scientists, and degree of clustering in the networks. We also highlight some apparent differences in collaboration patterns between the subjects studied. In the following paper, we study a number of measures of centrality and connectedness in the same networks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"We discuss the theoretical bases that underpin the automation of the computations of tree-level and next-to-leading order cross sections, of their matching to parton shower simulations, and of the merging of matched samples that differ by light-parton multiplicities. We present a computer program, MadGraph5_AMC@NLO, capable of handling all these computations - parton-level fixed order, shower-matched, merged - in a unified framework whose defining features are flexibility, high level of parallelisation, and human intervention limited to input physics quantities. We demonstrate the potential of the program by presenting selected phenomenological applications relevant to the LHC and to a 1-TeV e (+) e (-) collider. While next-to-leading order results are restricted to QCD corrections to SM processes in the first public version, we show that from the user viewpoint no changes have to be expected in the case of corrections due to any given renormalisable Lagrangian, and that the implementation of these are well under way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Nanotechnology is expected to open new avenues to fight and prevent disease using atomic scale tailoring of materials. Among the most promising nanomaterials with antibacterial properties are metallic nanoparticles, which exhibit increased chemical activity due to their large surface to volume ratios and crystallographic surface structure. The study of bactericidal nanomaterials is particularly timely considering the recent increase of new resistant strains of bacteria to the most potent antibiotics. This has promoted research in the well known activity of silver ions and silver-based compounds, including silver nanoparticles. The present work studies the effect of silver nanoparticles in the range of 1-100 nm on Gram-negative bacteria using high angle annular dark field (HAADF) scanning transmission electron microscopy (STEM). Our results indicate that the bactericidal properties of the nanoparticles are size dependent, since the only nanoparticles that present a direct interaction with the bacteria preferentially have a diameter of similar to 1-10 nm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"In this work we present a low cost and scalable technique, via ambient pressure chemical vapor deposition (CVD) on polycrystalline Ni films, to fabricate large area (similar to cm(2)) films of single- to few-layer graphene and to transfer the films to nonspecific substrates. These films consist of regions of 1 to similar to 12 graphene layers. Single- or bilayer regions can be up to 20 mu m in lateral size. The films are continuous over the entire area and can be patterned lithographically or by prepatterning the underlying Ni film. The transparency, conductivity, and ambipolar transfer characteristics of the films suggest their potential as another materials candidate for electronics and opto-electronic applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Catalysts for oxygen reduction and evolution reactions are at the heart of key renewable-energy technologies including fuel cells and water splitting. Despite tremendous efforts, developing oxygen electrode catalysts with high activity at low cost remains a great challenge. Here, we report a hybrid material consisting of Co3O4 nanocrystals grown on reduced graphene oxide as a high-performance bi-functional catalyst for the oxygen reduction reaction (ORR) and oxygen evolution reaction (OER). Although Co3O4 or graphene oxide alone has little catalytic activity, their hybrid exhibits an unexpected, surprisingly high ORR activity that is further enhanced by nitrogen doping of graphene. The Co3O4/N-doped graphene hybrid exhibits similar catalytic activity but superior stability to Pt in alkaline solutions. The same hybrid is also highly active for OER, making it a high-performance non-precious metal-based bi-catalyst for both ORR and OER. The unusual catalytic activity arises from synergetic chemical coupling effects between Co3O4 and graphene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"We describe an ab initio method for calculating the electronic structure, electronic transport, and forces acting on the atoms, for atomic scale systems connected to semi-infinite electrodes and with an applied voltage bias. Our method is based on the density-functional theory (DFT) as implemented in the well tested SIESTA approach (which uses nonlocal norm-conserving pseudopotentials to describe the effect of the core electrons, and linear combination of finite-range numerical atomic orbitals to describe the valence states). We fully deal with the atomistic structure of the whole system, treating both the contact and the electrodes on the same footing. The effect of the finite bias (including self-consistency and the solution of the electrostatic problem) is taken into account using nonequilibrium Green's functions. We relate the nonequilibrium Green's function expressions to the more transparent scheme involving the scattering states. As an illustration, the method is applied to three systems where we are able to compare our results to earlier ab initio DFT calculations or experiments, and we point out differences between this method and existing schemes. The systems considered are: (i) single atom carbon wires connected to aluminum electrodes with extended or finite cross section, (ii) single atom gold wires, and finally (iii) large carbon nanotube systems with point defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"We present a parameter-free method for an accurate determination of long-range van der Waals interactions from mean-field electronic structure calculations. Our method relies on the summation of interatomic C-6 coefficients, derived from the electron density of a molecule or solid and accurate reference data for the free atoms. The mean absolute error in the C-6 coefficients is 5.5% when compared to accurate experimental values for 1225 intermolecular pairs, irrespective of the employed exchange-correlation functional. We show that the effective atomic C-6 coefficients depend strongly on the bonding environment of an atom in a molecule. Finally, we analyze the van der Waals radii and the damping function in the C6R-6 correction method for density-functional theory calculations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"A modified version of the exchange potential proposed by Becke and Johnson [J. Chem. Phys. 124, 221101 (2006)] is tested on solids for the calculation of band gaps. The agreement with experiment is very good for all types of solids we considered (e.g., wide band gap insulators, sp semiconductors, and strongly correlated 3d transition-metal oxides) and is of the same order as the agreement obtained with the hybrid functionals or the GW methods. This semilocal exchange potential, which recovers the local-density approximation (LDA) for a constant electron density, mimics very well the behavior of orbital-dependent potentials and leads to calculations which are barely more expensive than LDA calculations. Therefore, it can be applied to very large systems in an efficient way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"We describe PTRAJ and its, successor CPPTRAJ, two complementary, portable, and freely available computer programs for the analysis and processing of time series of three-dimensional atomic positions (i.e., coordinate trajectories) and the data therein derived. Common tools include the ability to manipulate the data to convert among trajectory formats, process groups of trajectories generated with ensemble methods (e.g., replica exchange molecular dynamics), image with periodic boundary conditions,create average structures, strip subsets of the system, and perform calculations such as RMS fitting, measuring distances, B-factors, radii of gyration, radial distribution functions, and time correlations, among other actions and analyses. Both the PTRAJ and CPPTRAJ programs and source code are freely available under the GNU General Public License version 3 and are currently distributed within the AmberTools 12 suite of support programs that make up part of the Amber package of computer programs (See http://ambermd.org). This overview describes the general design, features, and history of these two programs; as well as algorithmic improvements and new features available in CPPTRAJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,A two-dimensional quantum system with anyonic excitations call be considered as a quantum computer. Unitary transformations can be performed by moving the excitations around each other. Measurements can be performed by joining excitations in pairs and observing the result of fusion. Such computation is fault-tolerant by its physical nature. (C) 2002 Elsevier Science (USA). All rights reserved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Recently a new, large family of two-dimensional (2D) early transition metal carbides and carbonitrides, called MXenes, was discovered. MXenes are produced by selective etching of the A element from the MAX phases, which are metallically conductive, layered solids connected by strong metallic, ionic, and covalent bonds, such as Ti2AlC, Ti3AlC2, and Ta4AlC3. MXenes combine the metallic conductivity of transition metal carbides with the hydrophilic nature of their hydroxyl or oxygen terminated surfaces. In essence, they behave as conductive clays. This article reviews progressboth experimental and theoreticalon their synthesis, structure, properties, intercalation, delamination, and potential applications. MXenes are expected to be good candidates for a host of applications. They have already shown promising performance in electrochemical energy storage systems. A detailed outlook for future research on MXenes is also presented.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Charges induced in triboelectric process are usually referred as a negative effect either in scientific research or technological applications, and they are wasted energy in many cases. Here, we demonstrate a simple, low cost and effective approach of using the charging process in friction to convert mechanical energy into electric power for driving small electronics. The triboelectric generator (TEG) is fabricated by stacking two polymer sheets made of materials having distinctly different triboelectric characteristics, with metal films deposited on the top and bottom of the assembled structure. Once subjected to mechanical deformation, a friction between the two films, owing to the nano-scale surface roughness, generates equal amount but opposite signs of charges at two sides. Thus, a triboelectric potential layer is formed at the interface region, which serves as a charge ""pump"" for driving the flow of electrons in the external toad if there is a variation in the capacitance of the system. Such a flexible polymer TEG gives an output voltage of up to 3.3 V at a power density of similar to 10.4 mW/cm(3). TEGs have the potential of harvesting energy from human activities, rotating tires, ocean waves, mechanical vibration and more, with great applications in self-powered systems for personal electronics, environmental monitoring, medical science and even large-scale power. (C) 2012 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"A scheme within density functional theory is proposed that provides a practical way to generalize to unrestricted geometries the method applied with some success to layered geometries [H. Rydberg et al., Phys. Rev. Lett. 91, 126402 (2003)]. It includes van der Waals forces in a seamless fashion. By expansion to second order in a carefully chosen quantity contained in the long-range part of the correlation functional, the nonlocal correlations are expressed in terms of a density-density interaction formula. It contains a relatively simple parametrized kernel, with parameters determined by the local density and its gradient. The proposed functional is applied to rare gas and benzene dimers, where it is shown to give a realistic description.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"To make practical the molecular dynamics simulation of large scale reactive chemical systems (1000s of atoms), we developed ReaxFF, a force field for reactive systems. ReaxFF uses a general relationship between bond distance and bond order on one hand and between bond order and bond energy on the other hand that leads to proper dissociation of bonds to separated atoms. Other valence terms present in the force field (angle and torsion) are defined in terms of the same bond orders so that all these terms go to zero smoothly as bonds break. In addition, ReaxFF has Coulomb and Morse (van der Waals) potentials to describe nonbond interactions between all atoms (no exclusions). These nonbond interactions are shielded at short range so that the Coulomb and van der Waals interactions become constant as R-ij --> 0. We report here the ReaxFF for hydrocarbons. The parameters were derived from quantum chemical calculations on bond dissociation and reactions of small molecules plus heat of formation and geometry data for a number of stable hydrocarbon compounds. We find that the ReaxFF provides a good description of these data. Generally, the results are of an accuracy similar or better than PM3, while ReaxFF is about 100 times faster. In turn, the PM3 is about 100 times faster than the QC calculations. Thus, with ReaxFF we hope to be able to study complex reactions in hydrocarbons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"The Review summarizes much of particle physics and cosmology. Using data from previous editions, plus 3,062 new measurements from 721 papers, we list, evaluate, and average measured properties of gauge bosons and the recently discovered Higgs boson, leptons, quarks, mesons, and baryons. We summarize searches for hypothetical particles such as supersymmetric particles, heavy bosons, axions, dark photons, etc. All the particle properties and search limits are listed in Summary Tables. We also give numerous tables, figures, formulae, and reviews of topics such as Higgs Boson Physics, Supersymmetry, Grand Unified Theories, Neutrino Mixing, Dark Energy, Dark Matter, Cosmology, Particle Detectors, Colliders, Probability and Statistics. Among the 117 reviews are many that are new or heavily revised, including new reviews on Pentaquarks and Inflation. The complete Review is published online in a journal and on the website of the Particle Data Group (http://pdg.lbl.gov). The printed PDG Book contains the Summary Tables and all review articles but no longer includes the detailed tables from the Particle Listings. A Booklet with the Summary Tables and abbreviated versions of some of the review articles is also available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"A program for calculating the semi-classic transport coefficients is described. It is based on a smoothed Fourier interpolation of the bands. From this analytical representation we calculate the derivatives necessary for the transport distributions. The method is compared to earlier calculations, which in principle should be exact within Boltzmann theory, and a very convincing agreement is found.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"We investigate electronic transport in lithographically patterned graphene ribbon structures where the lateral confinement of charge carriers creates an energy gap near the charge neutrality point. Individual graphene layers are contacted with metal electrodes and patterned into ribbons of varying widths and different crystallographic orientations. The temperature dependent conductance measurements show larger energy gaps opening for narrower ribbons. The sizes of these energy gaps are investigated by measuring the conductance in the nonlinear response regime at low temperatures. We find that the energy gap scales inversely with the ribbon width, thus demonstrating the ability to engineer the band gap of graphene nanostructures by lithographic processes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"On August 17, 2017 at 12:41:04 UTC the Advanced LIGO and Advanced Virgo gravitational-wave detectors made their first observation of a binary neutron star inspiral. The signal, GW170817, was detected with a combined signal-to-noise ratio of 32.4 and a false-alarm-rate estimate of less than one per 8.0 x 10(4) years. We infer the component masses of the binary to be between 0.86 and 2.26 M-circle dot, in agreement with masses of known neutron stars. Restricting the component spins to the range inferred in binary neutron stars, we find the component masses to be in the range 1.17-1.60 M-circle dot, with the total mass of the system 2.74(-0.01)(+0.04) M-circle dot. The source was localized within a sky region of 28 deg(2) (90% probability) and had a luminosity distance of 40(-14)(+8) Mpc, the closest and most precisely localized gravitational-wave signal yet. The association with the gamma-ray burst GRB 170817A, detected by Fermi-GBM 1.7 s after the coalescence, corroborates the hypothesis of a neutron star merger and provides the first direct evidence of a link between these mergers and short gamma-ray bursts. Subsequent identification of transient counterparts across the electromagnetic spectrum in the same location further supports the interpretation of this event as a neutron star merger. This unprecedented joint gravitational and electromagnetic observation provides insight into astrophysics, dense matter, gravitation, and cosmology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"For bulk-heterojunction photovoltaic cells fabricated from conjugated polymers and a fullerene derivative, the relation between the open-circuit voltage (V-oc) and the oxidation potential for different conjugated polymers is studied. A linear relation between V-oc and the oxidation potential is found (see figure). Based on this relation, the energy-conversion efficiency of a bulk-heterojunction solar cell is derived as a function of the bandgap and the energy levels of the conjugated polymer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Based on a first-principles approach, we present scaling rules for the band gaps of graphene nanoribbons (GNRs) as a function of their widths. The GNRs considered have either armchair or zigzag shaped edges on both sides with hydrogen passivation. Both varieties of ribbons are shown to have band gaps. This differs from the results of simple tight-binding calculations or solutions of the Dirac's equation based on them. Our ab initio calculations show that the origin of energy gaps for GNRs with armchair shaped edges arises from both quantum confinement and the crucial effect of the edges. For GNRs with zigzag shaped edges, gaps appear because of a staggered sublattice potential on the hexagonal lattice due to edge magnetization. The rich gap structure for ribbons with armchair shaped edges is further obtained analytically including edge effects. These results reproduce our ab initio calculation results very well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Many scientists have made use of the wavelet method in analyzing time series, often using popular free software. However, at present there are no similar easy to use wavelet packages for analyzing two time series together. We discuss the cross wavelet transform and wavelet coherence for examining relationships in time frequency space between two time series. We demonstrate how phase angle statistics can be used to gain confidence in causal relationships and test mechanistic models of physical relationships between the time series. As an example of typical data where such analyses have proven useful, we apply the methods to the Arctic Oscillation index and the Baltic maximum sea ice extent record. Monte Carlo methods are used to assess the statistical significance against red noise backgrounds. A software package has been developed that allows users to perform the cross wavelet transform and wavelet coherence (http://m ww.pol.ac.ukthome/research/waveletcoherence/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"By applying the specific fabrication conditions summarized in the Experimental section and post-production annealing at 150 degrees C, polymer solar cells with power-conversion efficiency approaching 5 % are demonstrated. These devices exhibit remarkable thermal stability. We attribute the improved performance to changes in the bulk heterojunction material induced by thermal annealing. The improved nanoscale morphology, the increased crystallinity of the semiconducting polymer, and the improved contact to the electron-collecting electrode facilitate charge generation, charge transport to, and charge collection at the electrodes, thereby enhancing the device efficiency by lowering the series resistance of the polymer solar cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"This biennial Review summarizes much of particle physics. Using data from previous editions, plus 2633 new measurements from 689 papers, we list, evaluate, and average measured properties of guage bosons, leptons, quarks, mesons, and baryons. We also summarize searches for hypothetical particles such as Higgs bosons, heavy neutrinos, and supersymmetric particles. All the particle properties and search limits are listed in Summary Tables. We also give numerous tables, figures, formulae, and reviews of topics such as the Standard Model, particle detectors, probability, and statistics. among the 110 reviews are many that are new or heavily revised including those on CKM quark-mixing, V-ud & V-us, V-cb & V-ub, top quark, muon anomalous magnetic moment, extra dimensions, particle detectors, cosmic background radiation, dark matter, cosmological parameters, and big bang cosmology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"We present the Gaussian and plane waves (GPW) method and its implementation in QUICKSTEP which is part of the freely available program package CP2K. The GPW method allows for accurate density functional calculations in gas and condensed phases and can be effectively used for molecular dynamics simulations. We show how derivatives of the GPW energy functional, namely ionic forces and the Kohn-Sham matrix, can be computed in a consistent way. The computational cost of computing the total energy and the Kohn-Sham matrix is scaling linearly with the system size, even for condensed phase systems of just a few tens of atoms. The efficiency of the method allows for the use of large Gaussian basis sets for systems up to 3000 atoms, and we illustrate the accuracy of the method for various basis sets in gas and condensed phases. Agreement with basis set free calculations for single molecules and plane wave based calculations in the condensed phase is excellent. Wave function optimisation with the orbital transformation technique leads to good parallel performance, and outperforms traditional diagonalisation methods. Energy conserving Born-Oppenheimer dynamics can be performed, and a highly efficient scheme is obtained using an extrapolation of the density matrix. We illustrate these findings with calculations using commodity PCs as well as supercomputers. (c) 2005 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"The k(t) and Cambridge/Aachen inclusive jet finding algorithms for hadronhadron collisions can be seen as belonging to a broader class of sequential recombination jet algorithms, parametrised by the power of the energy scale in the distance measure. We examine some properties of a new member of this class, for which the power is negative. This ""anti-k(t)"" algorithm essentially behaves like an idealised cone algorithm, in that jets with only soft fragmentation are conical, active and passive areas are equal, the area anomalous dimensions are zero, the non-global logarithms are those of a rigid boundary and the Milan factor is universal. None of these properties hold for existing sequential recombination algorithms, nor for cone algorithms with split-merge steps, such as SISCone. They are however the identifying characteristics of the collinear unsafe plain ""iterative cone"" algorithm, for which the anti-k(t) algorithm provides a natural, fast, infrared and collinear safe replacement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
