ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
39,"This article describes 1,4-dithiane-2,5-diol as a monomer to synthesize aliphatic random copolyester which PDDD was synthesized by direct melt polycondensation method and characterized by FT-IR and H-1-NMR. The physical properties of PDDD were characterized by X-ray diffraction, differential scanning calorimetry, as well as viscosity and solubility measurements. The anticancer, antioxidant, and antimicrobial activity of PDDD were evaluated to investigate its potential biomedical applications. Good results were obtained. It is evident that the copolyester exhibits favorable and tunable physical, thermal and biological properties and so is a suitable candidate for biomedical applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Shoot phototropism benefits growth and metabolism in land plants by enabling them to position their photosynthetic organs in favorable light conditions. Nonvascular land plants, like the ancestors of modern mosses, are believed to have been among the first plants to occupy the land. To understand the evolutional history of shoot phototropism in land plants, we have established a system for experimentally studying phototropism in gametophores of the moss Physcomitrella patens. Here we will describe the key points in our system, including obtaining etiolated gametophores, the light sources used for inducing bending, and the methods for evaluation of phototropic responses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Protein function often depends on assemblies and interactions. These show complex spatial and temporal organization within the cell. Analysis of protein function can be greatly assisted by grouping proteins with their neighbors. Rather than relying on affinity, proximity labeling targets proteins proximal to the target of interest. We describe a protocol for antibody-guided deposition of tags in fixed and permeabilized cell lines and primary human tissue samples.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"The endosomal sorting complex required for transport (ESCRT) machinery comprises five complexes that act sequentially to recruit and cluster transmembrane cargo proteins (ESCRT-0), drive membrane curving (ESCRT-I and II), catalyze fission of cargo-containing vesicles (ESCRT-III and VPS/VTA1), and disassemble and recycle the ESCRT-III complex (VPS/VTA1). Since interactions between ESCRT components and cellular or microbial proteins are typically weak, transient, and involve membrane proteins, they are often difficult to study by standard technologies. Here, we describe the utility of high-throughput proteinfragment complementation assays based on the reconstitution of a split luciferase reporter to screen for interactions between any protein and a library of ESCRT proteins in mammalian cells and provide a detailed protocol for these assays.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Organotypic slice cultures enable the study of glutamate receptors in an environment closely related to the in vivo situation but with easy access to genetic manipulation of the receptors and regulatory signaling cascades as well as a more precise pharmacological intervention. We describe a method to prepare organotypic hippocampal slices that can be easily adapted to other brain regions. Brain slices are laid on porous membranes, and culture medium is allowed to form an interface. This method preserves the functionality and gross architecture of the hippocampus for up to 2 weeks in culture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"The article presents the results of a complex research of two Russian metropolises, Moscow and Kazan, reviewing the development of the environmental policy and public participation as its important element Deep expert interviews, a mass population survey, and media discourse and content analysis in a comparative perspective were used as research methods. As a result, we drew conclusions a bout the main practices of public participation in the environmental policies of the cities, the necessity of increasing the involvement of the public and expert groups into the decision-making process and promoting more efficient cooperation between the stakeholders at different levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Insertion sequences are small mobile regions of DNA (transposable elements) found primarily in prokaryotes. The identification of insertion sequences in bacteria is a growing field of study because of their applications in evolution, genetics, and medicine. One of the first steps in characterizing the insertion sequences found in an organism is to perform a genome-wide survey to identify all insertion sequences using in silico methods. This includes a thorough scan of the genome to locate all copies of different families of insertion sequences and the identification of the key characteristics of each element. The results provide an extensive catalog of the insertion sequences which can be used to further other analyses or manipulation of the genome.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"In the past two decades, comparative genomic hybridization (CGH) and array CGH have become indispensable tools in clinical diagnostics and toxicological risk assessment. Initially developed for the genome-wide screening of chromosomal imbalances, that is, copy-number variations in tumor cells, both CGH and array CGH have been employed in genotoxicology and most recently in toxicogenomics. The latter allows a multi-end point analysis of how particular genes react to toxic agents, revealing changes in signaling pathways and other underlying molecular mechanisms. This chapter provides background on the use of CGH and array CGH in the context of genotoxicology, and also a protocol for conventional CGH, so that the basic principles of this methodology can be better understood. Conventional and array CGH investigate DNA expression patterns, copy-number variations across the whole genome, and loss of heterozygosity after genotoxic damage. Array CGH is still cost-intensive but produces exponentially more data, requiring suitable analytical algorithms and sophisticated bioinformatic analysis. As toxicogenomics is an emerging sub-discipline of toxicology research, effectively evaluating toxicogenomic microarray data can be hugely advantageous for human risk assessment, even though international regulatory guidelines on toxicogenomics have yet to be fully agreed and implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Chromatin immunoprecipitation (ChIP) assays allow for the study of protein-DNA interactions in physiological contexts. Briefly, ChIPs consist of the purification and enrichment of a protein of interest together with its associated chromatin and its later identification. Hence, this technique proves to be particularly useful when assessing novel target genes for nuclear receptors. In the field of metabolic liver diseases, the validation of putative nuclear receptor targets is key for furthering the development of nuclear receptor modulators as therapeutic compounds. In this chapter, the protocol described has been optimized for ChIP on mouse fatty (steatotic) livers. Thanks to the use of a ""two-step"" (double) cross-linking method, this protocol can also be used for the study of other proteins with weaker interactions or that are present in large complexes, such as cofactors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"RNA interference (RNAi) remains one of the most promising and emerging strategies for the effective cancer treatment due to its high target specificity and greater potency. However, it is hindered due to lack of appropriate targeting technologies. Therefore, there is an imminent need to develop specific and robust delivery systems for successful gene silencing. Nanotechnology-based strategies have been in place to combat the shortcomings associated with viral-based delivery systems. Herein we describe protocols for successful in vitro and in vivo delivery of gene-specific nucleic acids such as siRNAs and shRNAs using PEI-PGMA nanoparticles for efficient cancer therapy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"The activity of innovation relations in the economic system depends on external and internal factors inherent in different phases of the economic cycle. The most important factor is the parameters of demand for innovative objects of different nature. It is these parameters that determine the strategy of a small innovative enterprise (MIP) during periods of recession, depression, and economic activity in the country. So, for example, let us ask ourselves what strategy MIP should use during the recession, what products of its activity should it bring to the market? The most common answer to this question is that it is necessary to bring to the market innovations of only incremental nature at extremely low prices. This is explained by a decrease in the level of income of the population due to rising unemployment, bankruptcy of enterprises and other reasons. At the same time, this approach does not take into account the most important factor - the stratification of the population by income level. Having estimated the degree of this stratification, MIP can significantly change its strategy. For such an assessment, you can use the well-known Ginny coefficient. The Ginny coefficient (income concentration index) characterizes the degree of deviation of the actual distribution of monetary incomes of the population from the line of their uniform distribution. The value of the coefficient can vary from 0 to 1, at the same time, the higher the value of the indicator, the more unevenly distributed income in the society. During the recession, the degree of population stratification in the Russian Federation has grown. Thus, according to the data of the State Statistics Committee of the Russian Federation in 2018, the Ginny coefficient indicates an increase in the degree of population stratification by income level, and therefore, in terms of demand parameters for objects of innovation of a different nature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"In the framework of the measurement system used by Russian statistics, it is possible to identify those industries that provide the largest share in the cost of products and services in the region, as well as show good dynamics of development and economic efficiency. However, the current classifiers are focused on data aggregation within the industry, therefore, based only on the basis of the State Statistics Committee, clusters cannot be identified (or, when this is done at the all-Russian level, it is possible with a large degree of conditionality). Therefore, in order to further analyze the industry enterprises (which of them are included and which are not included in the cluster under study), it is necessary to conduct a primary statistical survey, which requires a survey. The questionnaire provides questions regarding: general resources, with the help of which it is planned to single out the cluster core, the performance indicators of these enterprises, with which it is supposed to evaluate further development trends of the cluster. The effectiveness of the influence of the cluster form of processing raw materials on regional economic systems is due to the development of partnerships between business entities. The cluster form of activity in the commodity sector, organized in the form of horizontal rather than vertical ties, is particularly relevant in the conditions of high monopolization of oil producing companies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"The main plant lipolytic enzymes discussed in this chapter are hydrolases that catalyze neutral lipids (non-polar lipids), that is, lipases or those hydrolyzing polar lipids, for example, phospholipases (A, C, and D) as well as those of related field like diacylglycerol kinases, lipoprotein lipases, lipid phosphate phosphatases, and lysophospholipases. This chapter provides generalities regarding some important aspects of plant lipolytic enzymes from either higher plants or algae, such as sources, reactions catalyzed, and specificities. Major issues for purification of plant enzymes with lipolytic activities are highlighted in this overview. New insights into implementation of relevant proteomic and lipidomic techniques to identify and characterize plant lipolytic enzymes with the aid of internet resources are also reviewed in this chapter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Lipases and phospholipases from plants have very interesting features for potential functions and applications in different fields. Plant lipases and phospholipases are ubiquitous proteins found either in basic or higher organs of plants. This chapter provides an overview of the diverse functions of these enzymes. The chapter addresses the issue of the importance regarding the functions of plant lipolytic enzymes (i.e., lipases and phospholipases) and their different forms not only for plants but also for external applications. The commercial exploitation of such plant proteins as industrial enzymes would be made as a potentially attractive alternative. The applications of plant lipases and phospholipases in biotechnology and industry such of food, detergents, effluent treatment, biodiesel production, as well as medicines and nutraceuticals are reviewed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Most searches in plant lipases have been devoted to seed lipases, but other sources of plant lipases are being exploited. The current chapter is undertaken to show readily available sources of lipases from plants as well as for their biochemical properties and some of their other eminent characteristics. The sequence and structural characterization into these lipolytic enzymes as well as their importance for biotechnological applications would also be the focus of this chapter. In fact, plant lipases have interesting features, particularly biochemical properties (e.g., pH and temperature), and with respect to their specific hydrolytic properties would make these enzymes alternative remedies for treatment of many diseases of the gastrointestinal tract and of pancreatic insufficiency with exogenous plant acid stable lipases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Plant phospholipases C (PLCs) that hydrolyze the phosphodiesteric linkages of the head group of phospholipids can be grouped into three major types-non-specific PLC (NPC), phosphoinositide-specific PLC (PI-PLC), and glycosylphosphatidylinositol (GPI)-PLC-according to the specificity of substrate and the cellular functions. After an overview of the main features in these plant enzymes, a case study of oat (Avena sativa) PI-PLCs isoforms is presented in this chapter to highlight insights into structure characterization of such predicted isozymes. Although oat PI-PLCs could not be purified to homogeneity due to their association with other proteins, particularly the actin cytoskeleton, the intended enzymes could be identified, analyzed, and characterized by functional proteomics, bioinformatics, and in silico approaches. In this chapter, sequence and structure analyses, as well as phylogenetic evolution of the predicted oat PI-PLCs, were reported to show the specific motifs and the main putative catalytic residues characteristics of such plant enzymes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Studying phospholipases D (PLDs) from plants is very interesting as these enzymes might play important roles in many processes. PLDs are thought to cleave the phosphodiesteric bonds of the head group of phospholipids. The structure and function of oat (Avena sativa) PLD remain poorly understood, and their properties need to be further elucidated. In the chapter, functional proteomics and bioinformatic approaches were used to identify and characterize isoforms of oat PLD. Insights into structural characterization of oat predicted isozymes were analyzed using in silico approaches. Primary structures were analyzed, and a phylogeny analysis and protein motif/domain identification were presented. A multiple sequence alignment of the putative oat PLD revealed consensus sequences with the well-known important putative catalytic residues characterized by such enzymes. The results here provide a detailed view of the main residues involved in catalysis in this kind of enzyme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"The discovery of enzymes with lipolytic activities in all kingdoms of life from prokaryote to eukaryote species raises the possibility of the presence of an evolutionary relationship history of these proteins among many species of various living organisms. The chapter suggests a strategy based on the phylogenetic distribution and homology conservation in plant lipolytic enzymes for possible depiction of their biological evolution. Extensive databases and online resources for lipidomics and related areas are useful tools to analyze the different lipolytic enzymes in the three major super kingdoms of life, including higher plants kingdom and confined organisms such as algae that have recently gained much interest due to their promising potential applications in lipids hydrolysis and biosynthesis. Multiple sequence alignments of the identified lipolytic enzymes from databases could serve to the identification of globally conserved residues as well as conserved sequence motifs. Estimation of evolutionary distance between the various identified lipolytic enzymes could also be carried out to better understand the pattern of evolution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"In this chapter, we give a short introduction to the genetics of complex diseases emphasizing evolutionary models for disease genes and the effect of different models on the genetic architecture, and we give a survey of the state-of-the-art of genome-wide association studies (GWASs).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"The skin is the first body region to manifest zinc deficiency. Recent studies have revealed that the zinc transporters, especially zinc importers belonging to the Zrt-Irt-like (ZIP) family, play crucial roles in skin homeostasis. Fourteen ZIP members have been identified in humans, with at least 6 members being related to skin development and maintenance. ZIP1, ZIP2, ZIP4, and ZIP10 are associated with epidermal morphogenesis and disorders, whereas ZIP7 and ZIP13 are essential for dermis formation and collagen metabolism. Mouse models in combination with clinical data have shown the molecular pathogenic mechanisms involving ZIP members. Although other family members have not been well studied with respect to their role in the skin, their direct or indirect associations are also considerable and they are believed to be drug targets for skin diseases. Therefore, precise analysis and understanding of ZIP family members are indispensable for the care and treatment of skin disorders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Grade IV gliomas, also known as glioblastoma multiforme (GBM), are incurable, lethal brain tumors, whose average life expectancy is around 15 months. There is a desperate need for a better understanding of the basic biology of these tumors, in order to devise novel, more specific and effective therapeutics. The handling of GBM represents a daunting challenge to clinicians, also considering the few therapeutic options available, none of which can significantly alter the inevitable lethal outcome of these tumors. Hence, the development of effective therapies would greatly benefit from the availability of in vivo GBM models that can reliably mimic the characteristics of malignant cells and the features of the human disease. Candidate new drugs have to be tested in these in vivo models by adopting settings concerning direct intra-brain delivery in order to define their overall therapeutic efficacy under clinical-like conditions. Here, we describe local intracranial delivery of drugs by osmotic mini-pumps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Here, we offer you a high-throughput assay to measure the ATP synthesis capacity in cells or isolated mitochondria. More specifically, the assay is linked to the mitochondrial' electron transport chain components of your interest being either through complex I (with or without a linkage to pyruvate dehydrogenase activity), through complex II, or through the electron transport flavoprotein and complex I (beta-oxidation of fatty acids).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"The cellular components of the enteric nervous system (ENS), namely enteric neurons and glia, display plasticity and respond to environmental cues deriving from growth factors, extracellular matrix (ECM) molecules, and cell-surface molecules, both in physiological and pathological conditions. ECM, in particular, provides an important framework for the enteric microenvironment and influences the homeostasis of myenteric neuronal circuitries. Isolation of pure myenteric plexus preparations from adult tissue permits to investigate changes in the ENS involving specific ECM, such as hyaluronan. This approach is based upon the possibility to isolate myenteric ganglia from the intestinal wall of either adult animals or humans, after microdissection and subsequent enzymatic digestion of the tissue. Enteric ganglia are free of connective tissue, extracellular collagen, and blood vessels, and thus treatment of intact intestinal segments with highly purified collagenases permits ganglia isolation from the surrounding smooth muscle cells. In this chapter, we describe methods for visualizing HA in isolated primary cultures of adult rat small intestine myenteric ganglia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Our fundamental understanding of the roles played by the endosomal sorting complex required for transport (ESCRT) machinery in cells comes from interdisciplinary approaches that combine numerous in vivo and in vitro techniques. Here, we focus on methods used to biochemically characterize Caenorhabditis elegans ESCRT components in vitro, including the production and characterization of recombinant ESCRT complexes and their use in membrane interaction studies. Key methodologies used include gel filtration chromatography, glycerol density gradient analysis, multi-angle light scattering, liposome co-flotation, and single-liposome fluorescence microscopy. Collectively, these studies have enabled us to define subunit stoichiometry of soluble C. elegans ESCRT complexes and to demonstrate that the late-acting ESCRT-III complex facilitates membrane bending and remodeling, at least in part by virtue of its ability to sense the curvature of lipid bilayers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Hepatitis A virus (HAV) continues to cause outbreaks of viral hepatitis, which remains a socially significant disease despite existing vaccines. During the production of vaccines, HAV strains that require prolonged incubation of infected cell cultures, up to 4 weeks, are used. Several HAV strains, which are fast-growing on cell cultures, up to 7-10 days, are known. This paper presents the results of virological characterization and analysis of the genome of the HAV strain MB-7/293 (HepA-293) derived from MB-7/4647, one of the fast-growing strains, which was obtained by adapting it to HEK293 cell culture (human embryonic kidney cells). It was shown that the MB-7/293 strain significantly exceeds the parent MB-7/4647 strain in productivity when cultured on HEK293 cell culture, i.e., in the yield of the infectious virus and the virus-specific antigen. Analysis of the nucleotide sequence of full-length genomic RNA of the MB-7/293 strain showed that it differs from the genome sequence of MB-7/4647 in three nucleotide substitutions in the 5'-untranslated region and 20 nucleotide substitutions in the coding region, which lead to substitutions of ten amino acid residues in the proteins VP3, VP1, 2B and 2C. Comparative analysis of the genomic sequences of the strains MB-7/293, MB-7/4647, and other HAV strains, including the previously described fast-growing strains, allowed to reveal mutations that affect the reproductive properties of the virus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"The genetic improvement of field crops through plant breeding and genetic modification is highly dependent on understanding, measuring, selecting, and manipulating phenotypes. Most phenotypes result from the complex interaction of a crop's genetics with the environment and management practices in which that crop is grown. Linking gene to phenotype in field environments to create superior crop varieties can therefore be challenging, particularly for genetically complex traits that are difficult to measure. This chapter is designed to help readers overcome these difficulties by describing tools and techniques used in successful crop improvement programs. It provides methodologies that can be broadly applied across numerous situations irrespective of field crop, environment, modest financial resources, or other factors. The chapter's focus is primarily on small- and large-scale, replicated, research plot-based screening trials since these trials are crucial, ubiquitous, and costly for both public- and private-sector crop improvement programs. To ease the understanding of the protocols discussed, this chapter's materials and methods section is composed of ten subsections, with each subsection covering a critical portion of the field crop phenotyping process: regulatory, environmental, and safety considerations; trait identification and prioritization; environment characterization; field site selection; experimental design; field design, preparation, and management; crop and soil measurements; environmental monitoring; in-field data recording; and data management and analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Glycol carbamate nucleic acid (GCNA) oligomers can be produced from activated carbonate monomers. The synthesized monomers can be very conveniently characterized employing analytical tools like NMR and HR-MS. Moreover, the activated carbonate monomers do not require coupling agents, and hence excess monomers can be recovered at the end of each coupling. Here we illustrate the synthesis of activated glycol carbonate monomers and their subsequent application in synthesis of carbamate oligomers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Visualizing tooth organs from their earliest inception as they actually appear in three dimensions has, until recently, been difficult due to the technical obstacle of imaging these tiny, translucent, low-density embryonic craniodental tissues. Related to this obstacle, quantifying craniodental morphology has been confounded by the time consuming need to physically section and then digitally photograph and reconstruct these images of tissues into 3D volumes. Here we provide a simple solution in the form of an overnight silver albumin tissue stain for whole embryos. Because it is differentially absorbed by embryonic tissues, this stain generates the contrast needed to detect and visualize unmineralized dental tissues. Stained specimens can be scanned using either desktop or synchrotron micro-computed tomography systems, generating digital 3D datasets of whole embryos that can immediately be used to assess dental morphology and histology. Craniodental structures can then be measured with high precision and accuracy using 3D image analysis software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"beta-arrestins are so-called hub proteins: they make complexes with many different partners, assembling functional complexes, and thereby fulfilling their biological function. The importance of this process in G protein-coupled receptor (GPCR) signalling has been fully demonstrated for many different receptors. For direct interactions, determining the interface regions, on beta-arrestins and on the partners, is crucial for understanding the function of the complex. Indeed, this brings information on which proteins can interact simultaneously with beta-arrestins, or, on the contrary, which partners are exclusive. We present here a method in two steps: protein-protein docking allows finding a limited number of peptides predicted to be involved in the interaction, and then experimental approaches that might be used for validating the prediction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Western blotting is an immunological technique that has been combined with mass spectrometry analysis, to create a high-throughput method for protein identification. Western blotting using serum allows us to identify a protein within an allergenic extract that specifically binds to a serum antibody, immunoglobulin E. This specific IgE binding protein can then be detected with a highly sensitive chemiluminescence detection substrate. Proteins detected by western blotting can be analyzed by mass spectrometry following an in-gel digestion protocol. The protein band of interest is excised from the gel and digested with trypsin to form peptides. Mass spectrometry will almost certainly have a pre-chromatographic step in which these peptides are separated before becoming ionized and entering a mass analyzer. It is in the mass analyzer that peptides are identified according to their mass-to-charge ratio, compiled into a mass spectrum which is compared to mass spectra held within online protein databases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"High-throughput drug screening (HTS) is a powerful tool that can be used rapidly to identify new potential bacterial inhibitors and/or compounds which enhance host cell control of pathogens, which can then go on to be developed as novel therapeutics. Typically screening is commonly done in artificial culture medium; however, obligate intracellular pathogens, such as Chlamydia trachomatis, cannot be tested this way. Intracellular screening methods allow for such pathogens to undergo HTS, while still giving reliable and consistent data. Plus, as well as identifying new potential bacterial inhibitors, it is also able to detect compounds which enhance host cell control of pathogens, to allow for host-directed therapies to be developed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"This chapter provides a detailed description for mass spectrometry-based phosphoproteomics analysis. We describe sample preparation, phosphopeptide enrichment, mass spectrometry acquisition, label-free data analysis and statistical analysis. This technique can be employed to characterize cell signaling networks, and is particularly useful to monitor cellular responses to kinase drug inhibitors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Objective: Is there any relationship between nutritional status and the status of trace elements in patients with advanced head and neck cancer? Material and methods: We have analyzed the register data of 42 head and neck cancer patients. Survival data of 22 women and 20 men were included. The mean age was 67.3 +/- 10.77 years. Bioimpedance analysis (BIA) was measured by Biocorpus 4000 RX (MEDIcal Health Care GmbH, Karlsruhe, Germany) and was summarized in individual phase angle (PA) of each patient. Trace elements (selenium, zinc, iron) were measured in serum samples at the same time, so we got individual data sets for each patient. Results: Patients with normal PA > 5.0 degrees have a significantly better survival (p = 0.016). The median survival time is 13.84 months (range 0.69 - 125.19) in malnourished patients (PA < 5.0) compared to 51.16 months (range 7.02 - 116.79) in normally nourished head and neck cancer (HNC) patients (PA > 5.0). Age-adjusted body mass index has a similar impact on prognosis (p = 0.068) in the investigated study groups. Trace element (TE) deficits are seen more often in PA < 5.0 degrees patients for selenium (p = 0.064) and zinc (p = 0.116). No relationship between nutritional status and TE status was seen for iron. Conclusion: BIA is able to document the impact of malnutrition on survival in the group of head and neck cancer patients. Furthermore, it filters the selenium- and zinc-deficient patients.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"This paper includes consideration of the commercial banks' hedging operations, as well as instruments aimed at the performance of these operations. The purpose of this paper is to review the hedging instruments in Russia and abroad and to identify the effectiveness of their use. In addition, attention is paid to the comparison of the applied financial instruments for hedging currency risks in Russia and in countries that are the world financial centers. We also revealed some differences in the management and use of methods aimed at monitoring the economic condition of credit institutions. Presumably, they are related to the specifics of economic activity in the country, financial literacy on a mass scale and historical prerequisites, expressed in the still fragile and relatively young banking and economic system as a whole. After the comparison and analysis of possible options for implementing the financial management levers, we have presented a theoretical hedging model, which is designed to help reducing the risks of currency losses in the conditions of macroeconomic instability. In addition, we analyzed the activity of the largest Russian bank Sberbank PJSC in the context of derivative financial instruments and revealed some patterns. At the end of the paper, we made a conclusion on the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Amyloid- peptide (1-42) (A(1-42)) is a key player in the development and progression of Alzheimer's disease (AD) and related pathologies, determined by formation of protein aggregates in the central nervous system. A(1-42) binding to crucial intracellular targets (and their subsequent inactivation) obviously represents one of the earliest events preceding extracellular pathogenic oligomerization/aggregation of A(1-42). It is reasonable to expect that dissociation of the A(1-42) complexes with intracellular proteins by means of inhibitors followed by subsequent degradation of A(1-42) would not only protect critically important proteins but also prevent intracellular accumulation of ?(1-42). The aim of this study was to investigate the effect of the neuroprotector isatin (100 mu M) on interaction of known A-binding proteins, glyceraldehyde-3-phosphate dehydrogenase (GAPDH) and pyruvate kinase, with A(1-42) and its fragments (A(1-28), A(12-28), A(25-35)). A(1-42) and its fragments (A(1-28), A(12-28), A(25-35)) immobilized on the Biacore optical biosensor chip interacted with GAPDH and pyruvate kinase. The lowest and basically equal K-d values were determined for GAPDH and pyruvate kinase complexes with immobilized A(1-42) and A(25-35). The presence of 100 mu M isatin caused a significant (more than fivefold) increase in the K-d values for GAPDH complexes with all A peptides except A(1-28). In contrast to GAPDH isatin increased dissociation of pyruvate kinase complexes only with A(1-42) (causing a 30-fold increase in K-d) and to a lesser extent with A(12-28) and A(25-35) (a 10-fold increase in the K(d)value). It should be noted that in the presence of isatin the K-d values for GAPDH and pyruvate kinase complexes with all A studied were in a narrower concentration range (10(-7) M-10(-6) M) than in the absence of this neuroprotector (10(-8) M-10(-6) M). Data obtained suggest existence of principal possibility of (pharmacological) protection of crucial intracellular targets against both A(1-42), and its aggressive truncated peptides (A(25-35)).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"This chapter describes the methods for inducing, detecting, and purifying the Legionella pneumophila siderophore. The first protocol details the methods by which L. pneumophila is cultured to facilitate production of the siderophore, rhizoferrin. This chapter then describes how to purify siderophore from culture supernatants through sequential reversed-phase/weak-anion exchange chromatography and high-performance liquid chromatography. The next section describes assays which allow the detection of the iron-binding capability and the biological activity of the purified siderophore. Lastly, this chapter describes the growth of L. pneumophila in chemically defined liquid medium (CDM) containing various iron sources as a method to assess the iron requirements of L. pneumophila.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Denaturing, discontinuous electrophoresis in the presence of SDS has become a standard method for the protein scientist. However, there are situations where this method produces suboptimal results. In these cases electrophoresis in the presence of positively charged detergents like cetyltrimethylammonium bromide (CTAB) may work considerably better. Methods for electrophoresis and staining of such gels are presented.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"The techniques that are useful for applying mechanical strain to bone and bone cells are now more diverse than described in the second Edition. Their output has also increased substantially and, perhaps most importantly, their significance is now broadly accepted. This growth in the use of methods for applying mechanical strain to bone and its constituent cells and increased awareness of the importance of the mechanical environment in controlling normal bone cell behavior has indeed heralded new therapeutic approaches. We have expanded the text to include additions and modifications made to the straining apparatus and updated the research cited to support this growing role of cell cultures, including co-culture systems and primary cells, tissue engineering, and organ culture models to analyze responses of bone cells to mechanical stimulation. We understand that there are approaches not covered here and appreciate that alternative strategies have their own value and utility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Bioinformatics applies unbiased approaches to develop statistically robust insight into health and disease. At the global, or ""20,000 ft"" view bioinformatic analyses of NR signaling can measure how the NRs are implicated in human health and disease through the impact of genome-wide significant genetic variation, family-wide NR expression patterns or considering where NRs are significantly identified in other high-dimensional data analyses. With a more NR-centric, or ""2000 ft"" view, bioinformatic approaches can interrogate events downstream of a given NR. Integrative approaches aim to combine multiple NR-centric high-dimensional data both derived in cell models and primary human tissue to reveal how NR-transcriptional networks relate to human health and disease. Bioinformatic approaches to such high-dimensional data are central and require specialist statistical insight and computational skills, coupled with a dexterous understanding of the biological question. A current challenge is determining the optimal mechanism to share such bioinformatic approaches through the biological research community.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Calcium (Ca2+) is a key player in cardiomyocyte homeostasis, and its roles span from excitation-contraction coupling to metabolic and structural signaling. Alterations in the function or expression of Ca2+-handling proteins are common findings in failing cardiomyocytes, which have been linked to impaired contractility and detrimental remodeling of the cellular structure. For these reasons, the study of intracellular Ca2+ handling in cardiomyocytes represents a central method in experimental molecular cardiology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
